iter	MultiClass
175	0.4374712019
176	0.4356132185
177	0.435020681
178	0.4341172858
179	0.4336472411
180	0.4334891306
181	0.4327928284
182	0.4316396773
183	0.4314037301
184	0.4300837728
185	0.4297369649
186	0.4293055547
187	0.4275415208
188	0.4264312327
189	0.4263590786
190	0.4252553214
191	0.4241330613
192	0.4235874423
193	0.422053698
194	0.4205551264
195	0.4192203882
196	0.4183806858
197	0.4178520116
198	0.4171679422
199	0.4162018116
200	0.4151481843
201	0.4143211851
202	0.4132264152
203	0.412131328
204	0.4109309284
205	0.4104218292
206	0.4093307824
207	0.4083770699
208	0.4075977447
209	0.4072961402
210	0.4064593596
211	0.4056294711
212	0.4042189107
213	0.4040347505
214	0.403173266
215	0.4023667568
216	0.400945751
217	0.4001841718
218	0.3989992873
219	0.3972262785
220	0.3965652413
221	0.3963685375
222	0.3954069542
223	0.3941570665
224	0.3932082284
225	0.3915770897
226	0.3901537997
227	0.389637218
228	0.3887064611
229	0.3879403707
230	0.3865635469
231	0.3862087402
232	0.3853694679
233	0.3851400228
234	0.3842808562
235	0.3829414404
236	0.3826597264
237	0.3822827731
238	0.3812925093
239	0.3808042669
240	0.3802591933
241	0.3800726198
242	0.3793816232
243	0.3783323515
244	0.3770055579
245	0.3764081484
246	0.3756787547
247	0.3754666376
248	0.3741497666
249	0.3728807584
250	0.3725165629
251	0.371768586
252	0.371330249
253	0.3703625115
254	0.370113567
255	0.3693612616
256	0.3685280641
257	0.3679043962
258	0.3673050965
259	0.3666653275
260	0.3654931911
261	0.3651733044
262	0.3647574117
263	0.363565795
264	0.3630562357
265	0.3629417727
266	0.3625401736
267	0.362084228
268	0.3610193382
269	0.3602102254
270	0.3584580009
271	0.3584126864
272	0.3567550011
273	0.356467455
274	0.3560172501
275	0.3553190953
276	0.355002015
277	0.3542154895
278	0.3533307672
279	0.3532928155
280	0.3523383393
281	0.3519205393
282	0.3518332194
283	0.3512792534
284	0.3503164417
285	0.3500028603
286	0.3496023704
287	0.3489107572
288	0.3484846942
289	0.3474482936
290	0.3467905179
291	0.3464394602
292	0.3460083054
293	0.3457147066
294	0.3450135865
295	0.344418938
296	0.3442983172
297	0.3436028278
298	0.3424952112
299	0.3417786353
300	0.3415099301
301	0.3407594825
302	0.3403406813
303	0.3400373568
304	0.3387672793
305	0.3384721832
306	0.3376055378
307	0.3372292384
308	0.3359848774
309	0.335589421
310	0.335437687
311	0.335001157
312	0.3343406742
313	0.3337541387
314	0.3328947505
315	0.3322155398
316	0.3321310009
317	0.3314002664
318	0.3309642187
319	0.3300686531
320	0.3289335259
321	0.3284815959
322	0.3278284545
323	0.3271952911
324	0.3269258981
325	0.325572227
326	0.32517249
327	0.3250202642
328	0.3243010676
329	0.3233945329
330	0.323215744
331	0.3228501278
332	0.3218724653
333	0.3214196736
334	0.3205567028
335	0.3196499641
336	0.3188814571
337	0.3179222324
338	0.3174778877
339	0.3168935451
340	0.3157854476
341	0.3155703514
342	0.3146680447
343	0.3145044845
344	0.313664165
345	0.3133763011
346	0.3127149023
347	0.3123960742
348	0.3119760898
349	0.311514926
350	0.3113981538
351	0.3111852314
352	0.3103380177
353	0.3097577593
354	0.3092057874
355	0.3090215299
356	0.3086533973
357	0.3079661603
358	0.3073380655
359	0.3072795126
360	0.3066286771
361	0.3061952598
362	0.3054873084
363	0.3050366889
364	0.3043882303
365	0.3037815564
366	0.3029884507
367	0.3019864747
368	0.3011047092
369	0.3005455421
370	0.2997693259
371	0.2994120883
372	0.2989878436
373	0.298538839
374	0.2973888373
375	0.2969295987
376	0.2968548839
377	0.2955853926
378	0.2955044392
379	0.2949398898
380	0.294625625
381	0.2941961007
382	0.2938499452
383	0.2932981287
384	0.2926908416
385	0.2921613706
386	0.2920973144
387	0.2917050188
388	0.2914634637
389	0.2905420913
390	0.2900051402
391	0.2895759396
392	0.2892547099
393	0.2889019568
394	0.2885050405
395	0.2884574511
396	0.2880804374
397	0.2874427438
398	0.2871656014
399	0.286700152
400	0.2862260871
401	0.2860109596
402	0.2852611972
403	0.2851651735
404	0.2847557889
405	0.2838976577
406	0.2834879271
407	0.2829621286
408	0.2826777222
409	0.2823778095
410	0.2821379604
411	0.2815348951
412	0.2806808426
413	0.2803303389
414	0.2798027789
415	0.2794145765
416	0.2786912588
417	0.2781808669
418	0.2779651007
419	0.2778303277
420	0.2775067198
421	0.2772566666
422	0.2766569782
423	0.2762014429
424	0.2758083194
425	0.2753364626
426	0.274779569
427	0.2745195543
428	0.2742513849
429	0.2739667097
430	0.2734794122
431	0.2731316986
432	0.2727760444
433	0.2719925124
434	0.2714963588
435	0.2711674312
436	0.2707903291
437	0.270754848
438	0.2697407738
439	0.2693635993
440	0.2691981014
441	0.269081052
442	0.2689351801
443	0.2684852494
444	0.2680666183
445	0.2675452435
446	0.2673380109
447	0.2667563318
448	0.2666369019
449	0.2662017288
450	0.265917741
451	0.2652671333
452	0.2646424848
453	0.2641712232
454	0.2635960708
455	0.2633383277
456	0.2624526554
457	0.2623105236
458	0.2616282461
459	0.2611931954
460	0.2605999882
461	0.2605251251
462	0.2603403354
463	0.2601432268
464	0.2595232194
465	0.2591918014
466	0.2587632675
467	0.2582179953
468	0.2576916692
469	0.2573272494
470	0.2572291419
471	0.2571827734
472	0.2569714288
473	0.2567667077
474	0.2565454689
475	0.2560460107
476	0.2556825523
477	0.2550152151
478	0.254674367
479	0.2544833098
480	0.2541940525
481	0.2537045698
482	0.2528727528
483	0.2525297489
484	0.2519247774
485	0.2518157085
486	0.2517032262
487	0.2512004747
488	0.2509563142
489	0.2505133276
490	0.2503465405
491	0.2497036483
492	0.2493363057
493	0.249292082
494	0.2490166342
495	0.2487642853
496	0.2482403164
497	0.247543766
498	0.2471352735
499	0.2467081616
500	0.2463014164
501	0.2461348211
502	0.2457574924
503	0.2457157163
504	0.2455608503
505	0.2455102405
506	0.2450720373
507	0.2446940854
508	0.2435619015
509	0.2428875862
510	0.2425552094
511	0.242084985
512	0.2419606764
513	0.2418191173
514	0.2409407832
515	0.2405836319
516	0.2404288868
517	0.2400120989
518	0.2394820931
519	0.2393220963
520	0.2392026671
521	0.2387583002
522	0.2385765604
523	0.2382349051
524	0.2379252694
525	0.2378981477
526	0.2376564147
527	0.2374969021
528	0.2370753332
529	0.2367406772
530	0.2363113764
531	0.2362131993
532	0.2358080421
533	0.2356422181
534	0.2353746582
535	0.23467265
536	0.2344182939
537	0.2338222074
538	0.2332317693
539	0.2328898237
540	0.2327454287
541	0.2325034468
542	0.2323608871
543	0.2315778794
544	0.2314900005
545	0.2310941393
546	0.2309724693
547	0.230345186
548	0.2300054189
549	0.2294589863
550	0.2291652871
551	0.228996981
552	0.2285493193
553	0.2284877609
554	0.2283201863
555	0.2282946503
556	0.2282432206
557	0.2280585395
558	0.2278900645
559	0.2276172911
560	0.2275288846
561	0.22678811
562	0.2259481868
563	0.2253782862
564	0.2249174563
565	0.2247451087
566	0.2244675087
567	0.2238455695
568	0.2235241017
569	0.2229986082
570	0.2228456094
571	0.2225756304
572	0.2224429956
573	0.2221613636
574	0.221797144
575	0.2214002202
576	0.2208728841
577	0.2205801472
578	0.2199908334
579	0.2198551313
580	0.2197840299
581	0.2193517596
582	0.2190502914
583	0.2185184786
584	0.2183860218
585	0.2181719811
586	0.2180584661
587	0.2178728759
588	0.2177115713
589	0.2173718598
590	0.2171519873
591	0.2169462344
592	0.2166967533
593	0.216589564
594	0.215870509
595	0.2155379503
596	0.2153839632
597	0.2150571318
598	0.2149683324
599	0.2143253537
600	0.2140211282
601	0.213817043
602	0.2134087798
603	0.2133235756
604	0.2131250215
605	0.2127775733
606	0.2123339667
607	0.2119204858
608	0.2118728922
609	0.2115250068
610	0.2113459747
611	0.2112500299
612	0.211098168
613	0.2106987286
614	0.2104779546
615	0.2100408557
616	0.2097502352
617	0.2092642058
618	0.2087688241
619	0.2085777239
620	0.20839741
621	0.2082501453
622	0.2075843359
623	0.2070926508
624	0.2068571794
625	0.2066062753
626	0.2065271065
627	0.2063040337
628	0.2060563708
629	0.2054408347
630	0.2047957816
631	0.2040993969
632	0.2036750192
633	0.2033369336
634	0.2029534756
635	0.2027962446
636	0.2022352869
637	0.2019715254
638	0.2018078914
639	0.2017732214
640	0.2016832431
641	0.2010360617
642	0.2009273002
643	0.200718493
644	0.2005181507
645	0.2001586538
646	0.1998113899
647	0.1993713907
648	0.1992746443
649	0.1992354684
650	0.1991047826
651	0.1986211109
652	0.1980560873
653	0.1979110712
654	0.1975500246
655	0.197320452
656	0.1972986817
657	0.196852117
658	0.1963475649
659	0.1962564248
660	0.1959017278
661	0.1954533778
662	0.1952437986
663	0.1952056004
664	0.1950551055
665	0.1947750404
666	0.1944299462
667	0.1940518452
668	0.1938804845
669	0.1937837593
670	0.1935855498
671	0.1934287181
672	0.1930450939
673	0.1929879456
674	0.1924762166
675	0.1920926059
676	0.1917559252
677	0.191658298
678	0.1915302559
679	0.1911828454
680	0.1909405204
681	0.1906471831
682	0.1904688471
683	0.190004249
684	0.189656112
685	0.1895229875
686	0.1892256108
687	0.1886927626
688	0.188275551
689	0.1881015096
690	0.1879594164
691	0.1879160807
692	0.1877394773
693	0.1875104378
694	0.1872323796
695	0.1868358162
696	0.1866117463
697	0.1863811762
698	0.186254203
699	0.1855439603
700	0.1852153374
701	0.185074875
702	0.184768778
703	0.184648021
704	0.1843204798
705	0.1842817032
706	0.1842056254
707	0.1838234194
708	0.1836943539
709	0.1834649398
710	0.1833053238
711	0.1831663119
712	0.1827512106
713	0.1823739579
714	0.1822945904
715	0.1820121352
716	0.1817443442
717	0.1814658552
718	0.1811977001
719	0.1811624009
720	0.1807406237
721	0.1805980965
722	0.180305703
723	0.1800888076
724	0.1797672809
725	0.1789959965
726	0.1787579345
727	0.1784059799
728	0.1783124801
729	0.1782770838
730	0.1777361544
731	0.1776856786
732	0.1774122398
733	0.176859034
734	0.1765982834
735	0.1765347557
736	0.1763032997
737	0.1758367605
738	0.1757891581
739	0.1754791962
740	0.1751686793
741	0.1746006799
742	0.1741261069
743	0.1736525608
744	0.1733804991
745	0.1733003217
746	0.1730515899
747	0.1728448328
748	0.172655417
749	0.1723574493
750	0.1723265513
751	0.1720993562
752	0.1716239257
753	0.1714808409
754	0.1713899461
755	0.1710156017
756	0.1707259511
757	0.1706305003
758	0.1706067487
759	0.1704405992
760	0.1701081313
761	0.1697460143
762	0.1696372582
763	0.1694829637
764	0.1692647049
765	0.1690838468
766	0.1688425345
767	0.1685891403
768	0.1684735235
769	0.1680221139
770	0.1680059979
771	0.1679791795
772	0.1679355948
773	0.1675874902
774	0.1674982362
775	0.167291119
776	0.1671078153
777	0.1668711733
778	0.1667693196
779	0.166564551
780	0.1665344511
781	0.1664442713
782	0.166276426
783	0.1658931559
784	0.1658097051
785	0.1655140177
786	0.165451297
787	0.1649904517
788	0.1646169681
789	0.1643507115
790	0.1641527243
791	0.1641422279
792	0.1639602334
793	0.1637230651
794	0.1634276587
795	0.1631206833
796	0.1630340409
797	0.162837261
798	0.1627322214
799	0.1621141812
800	0.16200317
801	0.1619555964
802	0.1615969138
803	0.1613558813
804	0.161190057
805	0.1609008461
806	0.1607769398
807	0.160316796
808	0.1601356055
809	0.1601169103
810	0.1599515015
811	0.1596912283
812	0.1594997026
813	0.1594065938
814	0.1592457426
815	0.1591385117
816	0.159082762
817	0.1588656726
818	0.1587731186
819	0.1586251015
820	0.1585208162
821	0.1584954019
822	0.1582612356
823	0.1581816903
824	0.1581673345
825	0.1580025197
826	0.1579028389
827	0.1578717387
828	0.1576400699
829	0.1574472041
830	0.1571317013
831	0.157001552
832	0.1565111716
833	0.1564425923
834	0.1563236491
835	0.1562266386
836	0.1561992781
837	0.1560218447
838	0.1558045705
839	0.1557884689
840	0.155692371
841	0.1554702375
842	0.1551157443
843	0.1550919293
844	0.1549726628
845	0.1546157954
846	0.1545557664
847	0.154477393
848	0.1543170954
849	0.1541953899
850	0.1540558934
851	0.1539392314
852	0.1538621827
853	0.1538028221
854	0.1536825286
855	0.1536514827
856	0.1534957197
857	0.1532032806
858	0.1528633365
859	0.1525886713
860	0.1525722049
861	0.1524414302
862	0.1523427444
863	0.1521780469
864	0.1518705618
865	0.1517932018
866	0.1516421989
867	0.1514613695
868	0.1513477022
869	0.1513137304
870	0.151029623
871	0.1509480308
872	0.150927673
873	0.1507494247
874	0.150500771
875	0.1503218529
876	0.1501790844
877	0.1500970491
878	0.1498148252
879	0.1496680664
880	0.1494266212
881	0.1492231489
882	0.1491599616
883	0.1491255619
884	0.1487856953
885	0.1486723785
886	0.1484158282
887	0.1482705156
888	0.1479594927
889	0.1477501171
890	0.1475698376
891	0.1475103892
892	0.1474110858
893	0.1473138373
894	0.1470042093
895	0.146899358
896	0.1467787821
897	0.1465282809
898	0.146350147
899	0.1462911463
900	0.1461143037
901	0.1459041873
902	0.1457579277
903	0.1456392575
904	0.1456017597
905	0.1454186112
906	0.1452895701
907	0.1451747731
908	0.1449885141
909	0.1448661178
910	0.1447085
911	0.1444717181
912	0.1440267936
913	0.1440119715
914	0.1439174544
915	0.1438493935
916	0.1436369054
917	0.1433971784
918	0.1432400996
919	0.1431237712
920	0.1429720027
921	0.142847558
922	0.1427899933
923	0.1426165716
924	0.1423799314
925	0.1422475383
926	0.1422365512
927	0.142186883
928	0.1421096479
929	0.1420683023
930	0.1417112787
931	0.1416120106
932	0.1411320204
933	0.1410722213
934	0.1408173405
935	0.1407443291
936	0.1403893891
937	0.1402766005
938	0.1402673297
939	0.140081736
940	0.14002855
941	0.1398459676
942	0.1396802259
943	0.1395279657
944	0.1394951675
945	0.1392700847
946	0.1391340553
947	0.1390565878
948	0.1389370492
949	0.138697035
950	0.1383539105
951	0.1380891628
952	0.1380752289
953	0.1379646987
954	0.1377361012
955	0.1376876404
956	0.1376736667
957	0.1375054762
958	0.1371654413
959	0.1370017212
960	0.1368181843
961	0.1368046351
962	0.1367669729
963	0.1367185361
964	0.1365976306
965	0.1365193564
966	0.1363021375
967	0.1361896251
968	0.1361170618
969	0.1359914606
970	0.1356435359
971	0.1354731015
972	0.1352535328
973	0.1350314304
974	0.1347308832
975	0.1345479385
976	0.1344715086
977	0.1343930579
978	0.1341385733
979	0.1339803754
980	0.1339469596
981	0.1339257113
982	0.133739181
983	0.1336912215
984	0.1336336831
985	0.1331149957
986	0.132995754
987	0.1329462049
988	0.1326416418
989	0.1325502222
990	0.1324500149
991	0.1324037611
992	0.1322346231
993	0.132221228
994	0.1319175573
995	0.1316580423
996	0.131632048
997	0.131458037
998	0.1313291234
999	0.130836979
